City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp(C),Wind Speed
Kroya,57,ID,1569548215,33,-6.5,108.06,34.24,3.68
Santiago del Estero,0,AR,1569548216,36,-27.8,-64.26,20.04,4.25
Khatanga,100,RU,1569548216,94,71.98,102.47,0.54,3.97
Yar-Sale,41,RU,1569548216,90,66.83,70.83,1.14,1.48
Cockburn Town,0,TC,1569548216,76,21.46,-71.14,28.44,4.7
Hobyo,8,SO,1569548216,81,5.35,48.53,24.14,5.39
Busselton,94,AU,1569547962,47,-33.64,115.35,18.33,2.9
Churapcha,6,RU,1569548217,65,62.0,132.43,7.44,5.7
Shingu,75,JP,1569548217,83,33.72,135.99,26.0,1.0
Severo-Kurilsk,64,RU,1569548217,80,50.68,156.12,7.84,12.61
Lebu,22,ET,1569548217,87,8.96,38.73,11.24,1.17
Harper,1,US,1569548217,45,30.3,-99.24,29.0,6.05
Provideniya,90,RU,1569548217,93,64.42,-173.23,10.0,8.0
Lesnoy,100,RU,1569548192,97,59.78,52.13,1.54,4.56
Dunedin,75,NZ,1569548218,62,-45.87,170.5,13.33,10.28
Kapaa,20,US,1569548218,74,22.08,-159.32,30.0,6.2
San Patricio,0,PY,1569548218,72,-26.98,-56.83,15.94,2.95
Hasaki,40,JP,1569548218,69,35.73,140.83,26.11,2.1
Sitka,16,US,1569548218,86,37.17,-99.65,20.56,3.58
Teyateyaneng,0,LS,1569548218,60,-29.15,27.74,-0.37,0.1
Salinopolis,3,BR,1569548219,81,-0.61,-47.36,27.34,7.98
Port Alfred,0,ZA,1569548219,63,-33.59,26.89,17.22,0.89
Korsakov,0,RU,1569548219,59,46.63,142.78,16.0,2.0
Birjand,0,IR,1569548219,13,32.86,59.22,21.0,6.2
West Wendover,1,US,1569548219,25,40.74,-114.07,25.0,3.65
Yulara,0,AU,1569548219,20,-25.24,130.99,29.0,2.6
Tabou,47,CI,1569548220,96,4.42,-7.36,23.24,1.15
Saint-Joseph,0,FR,1569548220,93,43.56,6.97,19.0,1.5
Carnarvon,0,ZA,1569548196,18,-30.97,22.13,10.24,2.32
Dolores,93,UY,1569548220,63,-33.53,-58.22,17.22,4.92
Sao Filipe,38,CV,1569548220,85,14.9,-24.5,25.24,5.09
Faanui,100,PF,1569548220,79,-16.48,-151.75,26.54,6.72
Ilhabela,27,BR,1569548221,86,-23.78,-45.36,20.24,3.56
Vao,51,EE,1569548221,92,59.1,26.19,6.64,2.62
Parsons,1,US,1569548157,78,37.34,-95.26,23.0,2.1
Nanortalik,0,GL,1569548221,73,60.14,-45.24,6.04,3.31
Tasiilaq,100,GL,1569548221,86,65.61,-37.64,3.0,8.2
Robertsport,100,LR,1569548221,94,6.75,-11.37,24.14,2.57
Saint-Augustin,40,CA,1569548221,87,45.63,-73.98,15.0,1.5
Caravelas,19,BR,1569548222,87,-17.73,-39.27,22.94,4.86
Luderitz,99,NA,1569548222,37,-26.65,15.16,22.0,0.5
Tucumcari,1,US,1569548222,30,35.17,-103.73,27.0,4.6
Rio Grande,0,BR,1569547996,84,-32.03,-52.1,12.22,1.65
Lima,90,PE,1569548222,87,-12.06,-77.04,16.0,4.6
Atuona,5,PF,1569548222,77,-9.8,-139.03,26.44,7.57
Eyemouth,37,GB,1569548223,94,55.87,-2.09,11.67,8.05
Geraldton,20,CA,1569548223,81,49.72,-86.95,9.0,5.7
Airai,0,TL,1569548223,46,-8.93,125.41,30.24,2.42
Lincoln,90,US,1569548077,56,40.8,-96.67,21.67,4.6
Calamar,100,CO,1569548223,94,1.96,-72.65,22.24,0.6
Springdale,1,US,1569548224,88,36.19,-94.13,22.22,2.1
Port Moresby,40,PG,1569547966,74,-9.47,147.16,29.0,10.3
Carutapera,1,BR,1569548224,81,-1.2,-46.02,26.04,3.44
Novoshcherbinovskaya,58,RU,1569548224,96,46.48,38.65,10.14,3.44
Belyy Yar,0,RU,1569548224,100,53.6,91.39,3.0,1.0
Saint George,40,GR,1569548224,77,39.45,22.34,21.0,0.95
Abbeville,75,FR,1569548225,93,50.11,1.83,13.89,2.6
North Bend,75,US,1569548225,88,43.41,-124.22,17.78,7.2
Namatanai,14,PG,1569548225,70,-3.66,152.44,28.74,4.73
Kiunga,77,PG,1569548225,70,-6.12,141.3,28.74,1.54
Mweka,100,CD,1569548225,95,-4.85,21.56,21.24,0.46
Waingapu,5,ID,1569548226,54,-9.65,120.26,29.34,7.67
Mahebourg,75,MU,1569548226,94,-20.41,57.7,22.22,2.6
New Norfolk,75,AU,1569548226,51,-42.78,147.06,17.0,8.7
Upernavik,100,GL,1569548226,55,72.79,-56.15,4.24,4.03
Tebingtinggi,1,ID,1569548226,59,3.33,99.16,30.74,1.32
Clyde River,1,CA,1569548226,86,70.47,-68.59,3.0,3.6
Arman,1,RU,1569548227,46,59.7,150.17,3.44,3.17
Pevek,91,RU,1569548227,78,69.7,170.27,1.24,9.37
Port-Gentil,100,GA,1569548227,86,-0.72,8.78,25.54,6.62
Constitucion,90,MX,1569548227,55,23.99,-104.67,19.0,3.1
Kuzhithurai,40,IN,1569548227,94,8.32,77.18,24.0,1.0
Mogadishu,100,SO,1569548227,78,2.04,45.34,24.64,5.44
Krasnoarmeysk,0,RU,1569548227,93,56.12,38.15,5.0,1.0
Riachao das Neves,3,BR,1569548224,30,-11.75,-44.91,22.14,1.12
Lucapa,98,AO,1569548228,82,-8.42,20.74,19.44,1.87
Vila Franca do Campo,40,PT,1569548228,88,37.72,-25.43,22.0,3.6
Hobart,75,AU,1569548228,51,-42.88,147.33,17.0,8.7
Krasnoshchekovo,93,RU,1569548228,59,51.67,82.73,8.34,2.02
Port Elizabeth,75,US,1569548228,68,39.31,-74.98,23.33,2.6
Cairns,75,AU,1569548218,57,-16.92,145.77,28.89,7.2
Port Lincoln,55,AU,1569548229,75,-34.72,135.86,12.44,7.71
Balkhash,0,KZ,1569548229,53,46.84,74.98,10.0,6.0
Marsh Harbour,21,BS,1569548229,77,26.54,-77.06,26.34,6.61
Tuatapere,57,NZ,1569548229,77,-46.13,167.69,12.22,6.71
Atwater,75,US,1569548229,40,37.35,-120.61,30.0,5.7
Cehegin,0,ES,1569548229,90,38.09,-1.8,21.11,0.89
Bethel,40,US,1569548230,71,60.79,-161.76,11.0,7.7
Klaksvik,100,FO,1569548230,87,62.23,-6.59,12.0,9.8
Puerto Ayora,90,EC,1569548230,73,-0.74,-90.35,23.0,1.5
Bereda,20,ES,1569548230,82,43.27,-7.54,18.33,7.2
Muravlenko,100,RU,1569548230,95,63.79,74.5,0.84,7.57
Butaritari,0,KI,1569548231,55,3.07,172.79,29.64,2.92
Lerwick,6,GB,1569548182,93,60.15,-1.15,12.0,3.1
Nerchinskiy Zavod,1,RU,1569548231,41,51.31,119.61,18.24,5.04
Palmer,20,AU,1569547990,67,-34.85,139.16,20.0,7.2
Acari,29,BR,1569548231,72,-6.44,-36.64,21.94,4.41
Sao Joao da Barra,100,BR,1569548231,97,-21.64,-41.05,18.74,0.98
Mamallapuram,75,IN,1569548231,94,12.63,80.17,27.22,2.19
Hoquiam,90,US,1569548232,82,46.98,-123.89,17.0,2.6
Xining,0,CN,1569548232,42,36.62,101.77,20.0,2.37
Chokurdakh,69,RU,1569548232,69,70.62,147.9,0.14,6.19
Whitehorse,75,CA,1569548232,75,60.72,-135.06,5.56,5.1
Qaanaaq,100,GL,1569548232,96,77.48,-69.36,0.24,7.73
Neyyattinkara,40,IN,1569548232,94,8.4,77.08,24.0,1.0
Bambous Virieux,75,MU,1569548233,94,-20.34,57.76,22.22,2.6
Kaduna,100,NG,1569548233,88,10.52,7.44,22.04,1.48
Ancud,0,CL,1569548233,87,-41.87,-73.83,10.0,1.5
Bintulu,75,MY,1569548233,88,3.17,113.03,28.0,1.0
Ballina,91,IE,1569548233,92,54.11,-9.15,11.11,1.34
Muli,0,CN,1569548234,43,28.08,109.56,26.84,1.32
Esperance,90,AU,1569548234,82,-33.86,121.89,15.0,4.1
Ambatofinandrahana,97,MG,1569548234,82,-20.55,46.8,14.74,2.54
Pozo Colorado,9,PY,1569548234,37,-23.49,-58.8,19.44,2.9
Meghraj,100,IN,1569548234,90,23.5,73.5,24.84,1.82
Hermanus,26,ZA,1569548234,65,-34.42,19.24,18.89,2.59
Haines Junction,10,CA,1569548193,83,60.75,-137.51,-0.47,2.86
Sisimiut,0,GL,1569548235,57,66.94,-53.67,6.84,0.39
Mayachnyy,54,RU,1569548235,88,52.68,55.69,1.24,4.1
Bitung,20,ID,1569548235,43,1.44,125.19,32.0,1.0
Vestmanna,100,FO,1569548235,87,62.16,-7.17,12.0,9.8
Barrow,100,AR,1569548235,75,-38.31,-60.23,6.34,4.62
Hualmay,21,PE,1569548235,92,-11.1,-77.61,16.04,5.13
Walvis Bay,100,NA,1569548235,93,-22.95,14.51,13.0,1.5
Srivardhan,100,IN,1569548236,88,18.03,73.02,25.54,5.69
Berlevag,100,NO,1569548236,97,70.86,29.09,7.14,7.49
Weligama,36,LK,1569548236,75,5.97,80.42,27.54,3.96
Beloha,98,MG,1569548236,86,-25.17,45.06,19.54,5.73
Tamboril,11,BR,1569548236,61,-4.83,-40.32,24.44,2.71
Honiara,40,SB,1569548236,66,-9.43,159.96,31.0,2.6
Opuwo,0,NA,1569548237,40,-18.06,13.84,17.44,3.45
Longyearbyen,75,NO,1569548237,86,78.22,15.63,4.0,4.1
Alihe,63,CN,1569548237,30,50.57,123.73,23.14,3.73
Mordovo,100,RU,1569548237,76,52.09,40.76,8.24,3.74
Quatre Cocos,75,MU,1569548237,94,-20.21,57.76,22.22,2.6
Vila,40,IT,1569548237,100,45.18,8.4,18.33,2.6
Wanning,75,AT,1569548238,93,48.64,13.53,15.0,0.5
Tessalit,0,ML,1569548238,10,20.2,1.01,29.84,3.48
Xuddur,92,SO,1569548238,79,4.12,43.89,21.74,5.3
Buala,8,SB,1569548238,66,-8.15,159.59,29.04,1.98
Bar Harbor,90,US,1569548234,93,44.39,-68.2,15.0,1.97
Agadir,90,MA,1569548238,93,30.42,-9.58,18.0,1.5
Osmena,96,PH,1569548239,76,12.17,124.59,27.84,2.07
Aklavik,75,CA,1569548239,69,68.22,-135.01,3.0,2.1
Westport,90,US,1569548015,100,41.14,-73.36,18.33,1.12
Sabha,0,LY,1569548239,33,27.03,14.43,26.64,4.85
Sergeyevka,69,KZ,1569548239,67,53.88,67.42,4.64,3.24
Port Hedland,0,AU,1569548239,28,-20.31,118.58,29.0,6.2
Saint Anthony,40,US,1569547984,25,43.97,-111.68,20.0,6.7
Dongsheng,0,CN,1569548239,33,29.72,112.52,30.24,0.53
Henties Bay,100,NA,1569548240,49,-22.12,14.28,20.24,4.14
Belaya Gora,90,RU,1569548240,53,68.54,146.19,1.44,2.88
Huarmey,57,PE,1569548240,93,-10.07,-78.15,16.14,4.68
Lanzhou,0,CN,1569548240,62,36.06,103.82,11.0,1.0
Touros,40,BR,1569548240,88,-5.2,-35.46,22.0,1.5
Ponta do Sol,100,BR,1569548240,97,-20.63,-46.0,16.74,0.89
Umm Kaddadah,100,SD,1569548241,50,13.6,26.69,26.34,3.38
Lubango,0,AO,1569548241,93,-14.92,13.49,15.64,0.18
Sao Gabriel da Cachoeira,12,BR,1569548241,89,-0.13,-67.09,24.04,0.53
Narsaq,0,GL,1569548241,56,60.91,-46.05,5.0,1.0
San Juan,0,AR,1569548241,42,-31.54,-68.53,14.54,1.59
Rio Gallegos,0,AR,1569548241,56,-51.62,-69.22,6.0,5.7
Gigmoto,22,PH,1569548242,69,13.78,124.39,28.54,1.95
Georgetown,20,GY,1569548242,83,6.8,-58.16,28.0,4.1
Tiznit,20,MA,1569548121,90,29.7,-9.73,19.54,1.68
Swellendam,11,ZA,1569548242,70,-34.02,20.44,7.0,0.5
Saskylakh,100,RU,1569548242,84,71.97,114.09,0.94,4.03
Vanimo,60,PG,1569548242,73,-2.67,141.3,28.34,5.77
Tateyama,20,JP,1569548243,61,36.66,137.31,27.78,2.1
Necochea,97,AR,1569548243,87,-38.55,-58.74,6.67,0.45
Abha,0,SA,1569548243,55,18.22,42.5,20.0,3.1
Grand Gaube,75,MU,1569548243,94,-20.01,57.66,22.22,2.6
Aguimes,40,ES,1569548243,73,27.91,-15.45,23.0,9.3
Egvekinot,100,RU,1569548243,98,66.32,-179.17,-0.87,2.82
Palana,100,RU,1569548244,87,59.08,159.95,6.04,6.05
La Ronge,75,CA,1569548244,75,55.1,-105.3,5.0,4.1
Lagos,20,NG,1569548032,94,6.46,3.39,25.0,1.0
Santo Tomas,40,PH,1569548244,70,7.53,125.62,30.56,4.1
Luganville,100,VU,1569548244,69,-15.51,167.18,27.0,6.2
Cidreira,0,BR,1569548244,86,-30.17,-50.22,15.04,2.65
Coahuayana,100,MX,1569548244,90,18.62,-100.35,24.04,1.41
Yurimaguas,78,PE,1569548245,66,-5.9,-76.1,23.84,1.62
Leskolovo,40,RU,1569548245,81,60.27,30.46,8.33,3.0
Boyolangu,56,ID,1569548245,47,-8.09,111.9,29.34,3.92
Saint-Donat-de-Montcalm,0,CA,1569548245,9,46.32,-74.22,10.0,2.38
Faya,0,SA,1569548245,55,18.39,42.45,20.0,3.1
Tautira,20,PF,1569548245,62,-17.73,-149.15,29.0,4.6
Arraial do Cabo,100,BR,1569548245,91,-22.97,-42.02,19.44,1.87
Genhe,71,CN,1569548246,34,50.78,121.52,19.54,5.6
Birao,100,CF,1569548246,90,10.3,22.78,20.84,2.1
Aukra,0,NO,1569548246,71,62.79,6.92,14.0,3.6
Verkhoyansk,100,RU,1569548246,62,67.55,133.39,4.54,3.76
Patea,2,NZ,1569548246,69,-39.76,174.48,13.33,14.31
Solnechnyy,0,RU,1569548246,59,50.72,136.64,14.54,2.03
Sur,67,OM,1569548247,60,22.57,59.53,28.34,2.26
Kuching,75,MY,1569548247,78,1.56,110.34,28.0,1.0
Smithers,75,CA,1569548040,81,54.78,-127.17,6.0,1.0
Katsuura,75,JP,1569548247,78,33.93,134.5,25.56,2.1
Djambala,94,CG,1569548247,96,-2.55,14.76,20.34,2.1
Kasempa,0,ZM,1569548247,64,-13.46,25.83,12.44,3.98
Kamwenge,100,UG,1569548248,91,0.19,30.45,18.74,0.48
Porto Belo,75,BR,1569548248,88,-27.15,-48.54,20.0,3.1
Bubaque,100,GW,1569548248,80,11.28,-15.83,27.54,4.07
Talnakh,40,RU,1569548248,95,69.49,88.39,0.0,4.0
Saint-Denis,29,FR,1569548248,87,48.94,2.36,15.0,4.1
Kawalu,99,ID,1569548248,59,-7.38,108.21,25.64,2.82
Amapa,75,HN,1569548248,74,15.09,-87.97,29.0,4.1
Kamenka,100,MD,1569548249,95,48.03,28.7,11.11,1.12
Mount Isa,75,AU,1569548249,20,-20.73,139.49,31.0,2.6
Lorengau,7,PG,1569548249,66,-2.02,147.27,29.94,4.6
Praia,75,BR,1569548249,88,-20.25,-43.81,17.0,2.1
Francistown,0,BW,1569548249,93,-21.17,27.5,5.44,3.63
Saint-Philippe,90,CA,1569548249,76,45.36,-73.48,15.0,9.8
Mareeba,75,AU,1569548250,57,-16.99,145.42,28.89,7.2
Zhezkazgan,90,KZ,1569548250,50,47.8,67.71,13.0,2.0
Esso,76,RU,1569548250,93,55.93,158.7,-1.17,3.82
Atar,0,MR,1569548250,15,20.52,-13.05,32.54,0.65
Oistins,20,BB,1569548250,78,13.07,-59.53,27.0,3.1
Evensk,28,RU,1569548250,46,61.92,159.24,6.84,3.14
Victoria,75,BN,1569547962,79,5.28,115.24,29.0,3.6
Tibiri,75,NE,1569548251,51,13.57,7.05,29.44,5.9
Coquimbo,90,CL,1569548251,81,-29.95,-71.34,12.0,2.1
Patti,90,IN,1569548251,88,31.28,74.86,26.0,1.5
Jurbarkas,0,LT,1569548251,95,55.08,22.76,7.64,2.12
Kruisfontein,0,ZA,1569548251,19,-34.0,24.73,18.74,3.58
Tambacounda,0,SN,1569548251,88,13.77,-13.67,27.0,2.1
San Jeronimo,53,PE,1569548252,93,-13.65,-73.37,9.74,1.14
Baykit,85,RU,1569548252,88,61.68,96.39,0.44,3.28
Yellowknife,20,CA,1569548252,69,62.45,-114.38,2.0,3.6
Anaconda,90,US,1569548252,66,46.13,-112.94,11.0,1.5
Lompoc,20,US,1569548252,77,34.64,-120.46,22.0,5.1
Moron,64,HT,1569548252,78,18.56,-74.26,27.14,5.38
Batagay-Alyta,91,RU,1569548253,72,67.8,130.41,-2.37,2.08
Wajir,100,KE,1569548253,75,1.75,40.07,23.34,7.31
Hella,30,BF,1569548253,97,10.47,-3.27,22.94,2.35
Luanda,75,AO,1569548253,94,-8.83,13.24,23.0,2.6
Troitskoye,98,RU,1569548253,60,52.98,84.68,6.94,2.49
Dukat,0,AL,1569548253,91,40.25,19.57,21.67,1.79
Srikakulam,100,IN,1569548254,86,18.29,83.89,25.64,0.81
San Andres,54,PH,1569548254,57,13.32,122.68,32.64,0.49
Santiago,28,PH,1569548159,66,16.69,121.54,29.74,1.78
Nuuk,5,GL,1569548254,45,64.17,-51.74,6.0,1.0
Nea Stira,20,GR,1569548254,93,38.18,24.2,23.33,1.47
Kaitangata,45,NZ,1569548254,55,-46.28,169.85,13.33,5.81
Lensk,100,RU,1569548255,96,60.71,114.91,2.34,2.7
Karpogory,100,RU,1569548255,95,64.0,44.44,3.94,2.55
La Romana,40,DO,1569548255,94,18.43,-68.97,28.0,2.73
Rtishchevo,100,RU,1569548255,89,52.26,43.79,6.44,2.24
Beringovskiy,100,RU,1569548256,79,63.05,179.32,8.14,3.56
Pahrump,1,US,1569548256,32,36.21,-115.98,28.33,7.2
Najran,0,SA,1569548257,44,17.54,44.22,24.0,1.61
Ketchikan,40,US,1569547970,66,55.34,-131.65,11.0,5.1
Okhotsk,80,RU,1569548257,43,59.36,143.24,8.44,0.9
Tual,100,ID,1569548258,83,-5.67,132.75,25.74,8.17
Yelizovo,33,RU,1569548258,50,53.19,158.38,14.0,9.0
Camacha,40,PT,1569548258,56,33.08,-16.33,22.0,4.6
Chapais,75,CA,1569548258,93,49.78,-74.86,7.0,2.1
Benghazi,0,LY,1569548232,72,32.12,20.07,23.24,2.49
Benguela,77,AO,1569548259,85,-12.58,13.4,22.34,2.59
Beisfjord,90,NO,1569548259,100,68.38,17.6,8.89,6.7
Norsup,87,VU,1569548259,69,-16.07,167.38,27.0,6.2
Waynesboro,40,US,1569548259,88,35.32,-87.76,25.56,1.5
Artyom,75,RU,1569548259,100,43.36,132.19,16.0,2.0
Qaqortoq,0,GL,1569548259,56,60.72,-46.03,5.0,1.0
Guadalupe y Calvo,8,MX,1569548260,89,26.09,-106.96,13.74,1.82
Kieta,56,PG,1569548260,74,-6.22,155.63,27.94,1.55
Ihosy,82,MG,1569548260,89,-22.4,46.13,14.94,4.03
Puerto Madero,0,AR,1569548260,72,-34.61,-58.36,17.0,8.2
Thinadhoo,77,MV,1569548260,73,0.53,72.93,28.34,4.85
Sayyan,65,YE,1569548260,49,15.17,44.32,21.24,0.82
Nishihara,75,JP,1569548260,69,35.74,139.53,30.0,1.5
Matias Romero,100,MX,1569548261,98,16.88,-95.03,21.24,0.85
Taoudenni,0,ML,1569548261,12,22.68,-3.98,33.14,2.23
Bathsheba,20,BB,1569548045,78,13.22,-59.52,27.0,3.1
Puerto Escondido,90,MX,1569548261,74,15.86,-97.07,26.0,2.6
Baculin,54,PH,1569548262,69,7.45,126.58,27.94,2.59
Cabra,0,ES,1569548262,55,37.47,-4.43,20.0,1.0
Cabo San Lucas,5,MX,1569548140,69,22.89,-109.91,28.33,5.7
Mount Gambier,90,AU,1569548262,76,-37.83,140.78,11.0,7.7
El Dorado,20,TT,1569548262,78,10.65,-61.37,27.22,3.33
Labuhan,52,ID,1569548262,49,-2.54,115.51,33.54,0.74
Tura,62,RU,1569548263,76,64.27,100.22,1.44,1.17
Dingle,74,PH,1569548263,68,11.0,122.67,29.94,1.83
Cayenne,0,GF,1569548263,88,4.94,-52.33,25.0,0.5
Bonnyville,75,CA,1569548263,66,54.27,-110.74,9.0,1.0
Nushki,0,PK,1569548263,40,29.55,66.02,27.74,4.15
Atbasar,100,KZ,1569548263,50,51.81,68.36,5.64,1.25
Central Point,1,US,1569548263,32,42.38,-122.91,28.0,4.1
Isangel,75,VU,1569548264,61,-19.55,169.27,27.0,5.1
Gat,20,SN,1569548264,94,14.69,-16.54,27.0,2.6
Samarai,90,PG,1569548264,89,-10.62,150.67,24.94,3.27
Novyy Urengoy,100,RU,1569548264,95,66.08,76.63,1.04,4.91
La Rioja,0,AR,1569548264,39,-29.41,-66.86,16.44,2.4
Pisco,75,PE,1569548265,82,-13.71,-76.2,17.0,5.7
Valle de Allende,21,MX,1569548265,61,26.94,-105.39,20.54,1.83
Richards Bay,0,ZA,1569548265,70,-28.77,32.06,16.84,7.58
Muros,75,ES,1569548265,100,42.77,-9.06,18.33,3.6
Takayama,20,JP,1569548265,61,36.14,137.25,27.78,2.1
Nantucket,90,US,1569548265,93,41.28,-70.1,18.0,8.2
Buchanan,20,LR,1569548266,94,5.88,-10.05,24.0,4.27
Bud,0,NO,1569548266,71,62.91,6.91,14.0,3.6
Elizabeth City,1,US,1569548231,74,36.3,-76.22,28.33,3.6
Carballo,20,ES,1569548266,82,43.21,-8.69,19.44,7.2
Lichinga,85,MZ,1569548266,80,-13.3,35.25,13.34,2.01
Aksu,0,KZ,1569548266,100,52.04,76.93,-1.0,3.0
Batsfjord,100,NO,1569548266,97,70.63,29.72,7.14,6.95
Surkhakhi,90,RU,1569548267,100,43.19,44.9,14.0,3.0
Okmulgee,1,US,1569548267,100,35.62,-95.96,24.0,3.1
Kurchum,100,KZ,1569548267,53,48.57,83.65,13.94,1.1
Jacareacanga,1,BR,1569548267,82,-6.22,-57.76,24.04,1.05
Damietta,0,EG,1569548267,78,31.42,31.81,25.0,1.5
Guilin,0,CN,1569548267,53,25.28,110.29,25.0,1.0
Aksarka,50,RU,1569548268,95,66.56,67.8,-0.67,1.74
Moctezuma,0,MX,1569548268,78,29.81,-109.68,19.24,1.62
Bafq,0,IR,1569548268,12,31.6,55.4,20.04,1.66
Katobu,70,ID,1569548268,44,-4.94,122.53,32.34,3.17
Marrakesh,0,MA,1569548268,53,31.63,-7.99,24.0,3.6
Alice Springs,0,AU,1569548268,26,-23.7,133.88,27.0,2.1
Progreso,0,UY,1569548269,76,-34.68,-56.22,14.44,2.1
Portland,75,US,1569547980,87,43.66,-70.25,15.56,2.6
Sunel,100,IN,1569548269,84,24.37,75.96,24.74,4.97
Jalu,0,LY,1569548269,50,29.03,21.55,21.94,2.86
Masyaf,20,SY,1569548269,88,35.06,36.34,21.0,2.1
Seoul,75,KR,1569548226,77,37.57,126.98,25.0,1.0
Rosenberg,1,US,1569548039,69,29.56,-95.81,28.33,2.99
Magole,20,TZ,1569548269,88,-6.37,37.37,21.0,1.22
Tovarkovo,0,RU,1569548270,100,54.68,35.94,1.0,1.54
Port Keats,8,AU,1569548270,66,-14.25,129.55,29.14,5.1
Chernyshevskiy,19,RU,1569548270,66,63.01,112.47,4.84,1.14
